movie,title,genres
32,Toy Story (1995),Animation|Children's|Comedy
354,Jumanji (1995),Adventure|Children's|Fantasy
1949,Grumpier Old Men (1995),Comedy|Romance
2203,Waiting to Exhale (1995),Comedy|Drama
889,Father of the Bride Part II (1995),Comedy
257,Heat (1995),Action|Crime|Thriller
356,Sabrina (1995),Comedy|Romance
1613,Tom and Huck (1995),Adventure|Children's
1569,Sudden Death (1995),Action
715,GoldenEye (1995),Action|Adventure|Thriller
1053,"American President, The (1995)",Comedy|Drama|Romance
2806,Dracula: Dead and Loving It (1995),Comedy|Horror
1284,Balto (1995),Animation|Children's
296,Nixon (1995),Drama
1767,Cutthroat Island (1995),Action|Adventure|Romance
298,Casino (1995),Drama|Thriller
243,Sense and Sensibility (1995),Drama|Romance
1398,Four Rooms (1995),Thriller
1644,Ace Ventura: When Nature Calls (1995),Comedy
2306,Money Train (1995),Action
839,Get Shorty (1995),Action|Comedy|Drama
1406,Copycat (1995),Crime|Drama|Thriller
2893,Assassins (1995),Thriller
305,Powder (1995),Drama|Sci-Fi
306,Leaving Las Vegas (1995),Drama|Romance
721,Othello (1995),Drama
2340,Now and Then (1995),Drama
1096,Persuasion (1995),Romance
211,"City of Lost Children, The (1995)",Adventure|Sci-Fi
654,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
2191,Dangerous Minds (1995),Drama
216,Twelve Monkeys (1995),Drama|Sci-Fi
3341,Wings of Courage (1995),Adventure|Romance
219,Babe (1995),Children's|Comedy|Drama
1412,Carrington (1995),Drama|Romance
312,Dead Man Walking (1995),Drama
2767,Across the Sea of Time (1995),Documentary
3151,It Takes Two (1995),Comedy
841,Clueless (1995),Comedy|Romance
1587,"Cry, the Beloved Country (1995)",Drama
160,Richard III (1995),Drama|War
2179,Dead Presidents (1995),Action|Crime|Drama
1589,Restoration (1995),Drama
730,Mortal Kombat (1995),Action|Adventure
843,To Die For (1995),Comedy|Drama
1233,How to Make an American Quilt (1995),Drama|Romance
315,Seven (Se7en) (1995),Crime|Thriller
18,Pocahontas (1995),Animation|Children's|Musical|Romance
2596,When Night Is Falling (1995),Drama|Romance
167,"Usual Suspects, The (1995)",Crime|Thriller
844,Mighty Aphrodite (1995),Comedy
3097,Lamerica (1994),Drama
1697,"Big Green, The (1995)",Children's|Comedy
2980,Georgia (1995),Drama
3352,Kids of the Round Table (1995),Adventure|Children's|Fantasy
2243,Home for the Holidays (1995),Drama
272,"Postino, Il (The Postman) (1994)",Drama|Romance
3064,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
1503,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
2939,Eye for an Eye (1996),Drama|Thriller
472,Mr. Holland's Opus (1995),Drama
1709,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
3134,Two if by Sea (1996),Comedy|Romance
2707,Bio-Dome (1996),Comedy
2808,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
2317,Two Bits (1995),Drama
